60	50	140	50	140	60
114	85	70	85	80	30
75	125	70	125	70	115
100	50	80	60	80	50
65	125	100	60	70	70
255	10	10	75	135	55
107	139	139	53	53	79
100	165	150	85	130	50
100	85	80	165	100	150
97	101	103	107	101	61
250	5	5   35	105	50
80	116	75	65	75	119
95	70	73	95	90	60
105	140	95	55	65	45
98	87	105	53	85	67
63	120	85	90	55	55
105	140	55	30	55	95
100	120	120	150	100	90
90	90	100	70	80	75
88	120	75	100	75	142
91	134	95	100	100	80
140	85	95	145	95	130
110	135	60	50	65	88
74	94	131	54	116	20
108	130	95	80	85	102
71	120	95	120	95	99
150	100	120	100	120	90
150	120	100	120	100	90
95	120	65	95	75	60
100	150	140	100	90	90
95	125	79	60	100	81
57	90	95	136	103	29
78	92	75	74	63	118
91	90	106	130	106	77
108	112	118	68	72	47
106	130	90	110	154	90
92	105	90	125	90	98
100	100	100	100	100	100
59	181	131	59	31	109
91	72	90	129	90	108
75	110	125	100	105	85
95	117	80	65	70	92
100	100	90	150	140	90
125	130	90	130	90	95
125	170	100	120	90	95
125	120	90	170	100	95
89	145	90	105	80	91
89	125	90	115	80	101
106	90	130	90	154	110
137	113	89	137	107	97
75	117	65	55	65	110
80	95	115	130	115	65
70	70	115	130	90	60
110	130	80	70	60	80
110	65	105	55	95	80
90	125	80	90	90	125
135	143	143	80	65	34
106	110	90	154	90	130
90	100	90	125	85	90
90	92	87	75	85	76
73	73	73	127	73	121
97	113	109	157	127	77
97	157	127	113	109	77
100	100	100	100	100	100
81	102	77	85	75	85
90	92	97	75	85	76
109	53	47	127	131	103
73	67	75	81	100	109
90	120	100	150	120	100
71	137	37	137	37	151
60	50	100	95	70	65
80	74	74	126	116	60
95	85	85	65	65	35
105	150	90	150	90	95
80	100	50	100	50	200
100	120	100	150	120	100
100	125	90	60	70	85
50	65	107	105	107	86
95	135	80	110	80	100
70	130	100	55	80	65
65	80	140	40	70	70
95	75	110	100	80	30
75	80	100	100	110	30
95	65	80	110	110	30
137	137	107	113	89	97
100	65	60	145	80	130
100	110	90	85	90	60
100	100	125	110	50	50
70	130	115	85	95	75
70	75	115	95	130	85
70	115	85	97	75	130
70	85	75	130	115	95
80	70	65	80	120	100
79	105	70	145	80	101
79	100	80	110	90	121
50	63	152	53	142	35
100	134	110	95	100	61
100	130	100	63	60	97
100	130	100	63	60	97
85	60	65	135	105	100
126	131	95	131	98	99
126	131	95	131	98	99
92	130	115	80	115	138
92	130	115	80	115	138
92	130	145	80	145	128
90	90	85	125	90	100
100	150	120	120	100	90
88	112	75	102	80	143
108	100	121	81	95	95
216	100	121	91	95	85
